Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_By,Canceled_Reason,Incomplete_Ride,Incomplete_Ride_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
2026-01-04,08:48:54,OLA434471,Success,Cust_2209,Bike,Electronic City,Whitefield,3,33,NA,NA,No,NA,719.71,Wallet,47.98,4,5
2026-02-14,03:31:57,OLA637579,Success,Cust_4277,Auto,Electronic City,HSR Layout,12,44,NA,NA,No,NA,946.27,Credit Card,63.08,4,3
2026-02-09,03:31:04,OLA415421,Cancelled,Cust_1348,Prime Sedan,Koramangala,MG Road,5,0,Driver,Driver refused,No,NA,0.0,UPI,0.0,0,0
2026-02-25,03:17:11,OLA815135,Success,Cust_3936,Prime Sedan,MG Road,Airport,2,29,NA,NA,No,NA,1133.83,UPI,75.59,3,4
2026-01-31,19:07:11,OLA324140,Success,Cust_4355,Auto,MG Road,Electronic City,4,34,NA,NA,No,NA,468.46,Wallet,31.23,5,3
2026-02-01,10:26:51,OLA137707,Success,Cust_4425,Auto,HSR Layout,Whitefield,5,27,NA,NA,No,NA,326.82,Cash,21.79,4,5
2026-01-24,18:34:55,OLA507049,Success,Cust_4829,Bike,Airport,Electronic City,12,44,NA,NA,No,NA,627.49,Cash,41.83,5,5
2026-01-23,01:27:11,OLA175371,Success,Cust_1297,Auto,HSR Layout,Indiranagar,4,22,NA,NA,No,NA,511.69,Cash,34.11,5,4
2026-02-22,18:19:16,OLA542680,Success,Cust_2751,Prime Sedan,Whitefield,HSR Layout,6,18,NA,NA,No,NA,687.83,UPI,45.86,4,5
2026-01-26,17:49:29,OLA438451,Success,Cust_2306,Bike,Indiranagar,MG Road,6,21,NA,NA,No,NA,941.61,Wallet,62.77,3,4
2026-01-29,13:44:22,OLA141255,Success,Cust_2113,Prime Sedan,Indiranagar,Koramangala,5,21,NA,NA,No,NA,844.66,UPI,56.31,3,3
2026-01-13,12:13:10,OLA434087,Success,Cust_3117,Bike,HSR Layout,Whitefield,12,21,NA,NA,No,NA,900.13,Credit Card,60.01,4,4
2026-02-07,20:52:47,OLA405150,Success,Cust_3695,Prime Play,Indiranagar,Electronic City,8,24,NA,NA,No,NA,946.36,Cash,63.09,3,4
2026-01-19,18:25:02,OLA228410,Success,Cust_3887,Prime Sedan,Electronic City,Airport,10,30,NA,NA,No,NA,396.56,Credit Card,26.44,3,3
2026-01-10,09:48:18,OLA858890,Cancelled,Cust_59,Prime Sedan,Koramangala,Electronic City,4,0,Driver,Changed mind,No,NA,0.0,Cash,0.0,0,0
2026-01-01,22:29:44,OLA827331,Success,Cust_2002,Auto,Koramangala,Whitefield,6,40,NA,NA,No,NA,665.58,Wallet,44.37,5,4
2026-02-12,11:43:16,OLA149317,Success,Cust_465,Prime Play,Airport,Whitefield,12,38,NA,NA,No,NA,884.55,UPI,58.97,4,3
2026-01-13,05:09:31,OLA210830,Success,Cust_4672,Auto,MG Road,Whitefield,2,25,NA,NA,No,NA,691.04,UPI,46.07,5,5
2026-02-07,18:26:31,OLA296507,Success,Cust_3997,Lux,Koramangala,MG Road,3,21,NA,NA,No,NA,810.7,Wallet,54.05,4,4
2026-01-08,17:03:09,OLA548867,Cancelled,Cust_1080,Auto,MG Road,Airport,1,0,Driver,Driver refused,No,NA,0.0,UPI,0.0,0,0
2026-02-13,09:42:12,OLA387057,Success,Cust_193,Lux,Indiranagar,HSR Layout,6,20,NA,NA,No,NA,839.6,Credit Card,55.97,3,5
2026-03-02,03:10:51,OLA187886,Success,Cust_622,Bike,Airport,HSR Layout,7,45,NA,NA,No,NA,779.1,Cash,51.94,4,3
2026-03-01,08:10:50,OLA936303,Incomplete,Cust_3035,Prime Sedan,Airport,Whitefield,8,5,NA,NA,Yes,Medical Emergency,57.49,Cash,3.83,0,0
2026-02-16,19:28:51,OLA546478,Success,Cust_268,Auto,Koramangala,Electronic City,2,42,NA,NA,No,NA,335.46,UPI,22.36,3,3
2026-01-28,16:27:07,OLA940228,Cancelled,Cust_1866,Bike,MG Road,Electronic City,4,0,Customer,Late arrival,No,NA,0.0,Credit Card,0.0,0,0
2026-01-05,03:32:53,OLA892763,Success,Cust_4820,Prime Sedan,Indiranagar,Electronic City,11,18,NA,NA,No,NA,1048.73,UPI,69.92,5,3
2026-01-02,10:17:42,OLA194828,Success,Cust_801,Mini,Koramangala,Whitefield,5,21,NA,NA,No,NA,452.59,UPI,30.17,5,5
2026-01-22,20:01:57,OLA600237,Cancelled,Cust_1783,Lux,MG Road,Indiranagar,3,0,Driver,Wrong location,No,NA,0.0,Credit Card,0.0,0,0
2026-02-01,16:41:50,OLA381790,Success,Cust_2288,Mini,Indiranagar,Airport,12,40,NA,NA,No,NA,1129.88,Cash,75.33,4,5
2026-03-01,21:11:47,OLA373518,Success,Cust_4838,Mini,HSR Layout,Electronic City,9,43,NA,NA,No,NA,944.63,Wallet,62.98,5,4
2026-01-28,02:04:48,OLA571296,Success,Cust_3282,Lux,Electronic City,Koramangala,7,39,NA,NA,No,NA,373.93,Credit Card,24.93,3,5
2026-02-26,11:38:21,OLA473211,Success,Cust_3996,Auto,HSR Layout,Airport,4,41,NA,NA,No,NA,686.79,Wallet,45.79,5,4
2026-01-19,21:33:42,OLA376935,Incomplete,Cust_3647,Prime Sedan,HSR Layout,Whitefield,9,4,NA,NA,Yes,Medical Emergency,105.03,Credit Card,7.0,0,0
2026-01-31,16:22:06,OLA463331,Success,Cust_628,Mini,Whitefield,HSR Layout,3,17,NA,NA,No,NA,546.34,Credit Card,36.42,3,5
2026-02-10,15:11:57,OLA954897,Success,Cust_4606,Prime Sedan,MG Road,HSR Layout,2,16,NA,NA,No,NA,375.09,Wallet,25.01,3,5
2026-01-06,16:24:30,OLA830222,Cancelled,Cust_632,Auto,MG Road,Koramangala,2,0,Driver,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-01-06,00:35:32,OLA839202,Cancelled,Cust_1000,Prime Play,Electronic City,MG Road,3,0,Customer,Late arrival,No,NA,0.0,Wallet,0.0,0,0
2026-01-24,07:17:44,OLA491660,Success,Cust_1068,Prime Play,MG Road,Indiranagar,10,31,NA,NA,No,NA,1160.6,Wallet,77.37,5,5
2026-01-28,11:47:49,OLA204907,Success,Cust_3313,Lux,MG Road,Koramangala,4,33,NA,NA,No,NA,643.93,Cash,42.93,5,4
2026-01-21,02:20:07,OLA180605,Success,Cust_3211,Mini,Airport,Indiranagar,10,40,NA,NA,No,NA,921.08,Cash,61.41,4,3
2026-01-27,04:24:32,OLA508866,Success,Cust_4245,Prime Sedan,MG Road,Electronic City,3,36,NA,NA,No,NA,282.58,Wallet,18.84,5,3
2026-01-17,19:39:50,OLA802344,Success,Cust_2066,Bike,HSR Layout,Koramangala,8,24,NA,NA,No,NA,1072.33,Wallet,71.49,3,4
2026-02-10,01:21:47,OLA810879,Success,Cust_3959,Bike,Koramangala,MG Road,5,27,NA,NA,No,NA,965.93,Cash,64.4,5,5
2026-02-10,17:44:10,OLA170962,Incomplete,Cust_1696,Lux,HSR Layout,Koramangala,4,9,NA,NA,Yes,Vehicle Breakdown,153.28,Cash,10.22,0,0
2026-03-02,13:36:33,OLA819984,Success,Cust_4453,Mini,HSR Layout,Koramangala,6,21,NA,NA,No,NA,769.04,Credit Card,51.27,3,5
2026-01-24,02:06:47,OLA706060,Success,Cust_1984,Prime Play,MG Road,HSR Layout,3,27,NA,NA,No,NA,252.02,Credit Card,16.8,5,5
2026-02-14,12:59:55,OLA961026,Success,Cust_4900,Bike,Electronic City,MG Road,6,36,NA,NA,No,NA,825.28,Wallet,55.02,3,3
2026-02-03,21:10:11,OLA484898,Cancelled,Cust_2791,Lux,Koramangala,Electronic City,3,0,Driver,Changed mind,No,NA,0.0,Cash,0.0,0,0
2026-01-15,23:57:54,OLA473264,Success,Cust_3377,Lux,Whitefield,HSR Layout,5,13,NA,NA,No,NA,1105.93,UPI,73.73,4,4
2026-02-17,21:45:46,OLA393517,Success,Cust_2468,Bike,Koramangala,HSR Layout,8,9,NA,NA,No,NA,824.91,UPI,54.99,4,5
2026-02-24,03:20:27,OLA183208,Success,Cust_1630,Mini,Electronic City,Airport,11,10,NA,NA,No,NA,747.81,Wallet,49.85,4,4
2026-01-05,11:29:48,OLA181617,Success,Cust_1771,Bike,HSR Layout,Koramangala,6,42,NA,NA,No,NA,1172.26,Wallet,78.15,4,5
2026-02-28,20:27:25,OLA548518,Success,Cust_4024,Prime Play,HSR Layout,Indiranagar,9,36,NA,NA,No,NA,706.7,Wallet,47.11,5,4
2026-02-01,20:48:17,OLA900197,Success,Cust_4340,Auto,HSR Layout,Indiranagar,9,12,NA,NA,No,NA,1098.99,Wallet,73.27,5,5
2026-01-01,08:13:13,OLA846027,Success,Cust_1827,Lux,Electronic City,Indiranagar,6,9,NA,NA,No,NA,124.83,Credit Card,8.32,4,5
2026-01-23,01:46:36,OLA626927,Cancelled,Cust_810,Prime Sedan,Whitefield,Airport,2,0,Driver,Changed mind,No,NA,0.0,Wallet,0.0,0,0
2026-02-16,13:43:29,OLA148359,Incomplete,Cust_2781,Auto,Airport,HSR Layout,7,1,NA,NA,Yes,Vehicle Breakdown,53.6,UPI,3.57,0,0
2026-02-22,00:08:32,OLA251000,Success,Cust_4025,Lux,Electronic City,Whitefield,8,17,NA,NA,No,NA,491.73,Cash,32.78,3,3
2026-03-01,13:51:26,OLA683562,Success,Cust_607,Auto,Airport,MG Road,3,21,NA,NA,No,NA,579.5,Wallet,38.63,4,3
2026-02-15,09:16:55,OLA582556,Success,Cust_127,Prime Play,Koramangala,Indiranagar,6,31,NA,NA,No,NA,400.74,Cash,26.72,5,4
2026-01-23,10:55:32,OLA674390,Cancelled,Cust_4276,Lux,MG Road,Airport,3,0,Driver,Late arrival,No,NA,0.0,UPI,0.0,0,0
2026-02-01,21:49:59,OLA943118,Success,Cust_3786,Prime Sedan,Electronic City,MG Road,10,21,NA,NA,No,NA,990.08,UPI,66.01,5,5
2026-02-26,09:59:17,OLA697583,Success,Cust_4379,Auto,Airport,Whitefield,6,20,NA,NA,No,NA,465.63,Cash,31.04,3,3
2026-02-24,09:49:03,OLA598274,Incomplete,Cust_4780,Prime Sedan,Airport,MG Road,9,3,NA,NA,Yes,Medical Emergency,91.58,Wallet,6.11,0,0
2026-01-04,11:39:37,OLA833144,Success,Cust_49,Bike,Indiranagar,Electronic City,10,9,NA,NA,No,NA,622.41,Wallet,41.49,3,3
2026-02-26,23:02:36,OLA958465,Success,Cust_1267,Mini,HSR Layout,Whitefield,4,29,NA,NA,No,NA,754.14,Wallet,50.28,3,3
2026-01-02,18:32:24,OLA237818,Success,Cust_2260,Bike,MG Road,Indiranagar,6,31,NA,NA,No,NA,619.92,Cash,41.33,5,3
2026-02-04,03:54:49,OLA433523,Success,Cust_1896,Bike,MG Road,Airport,10,15,NA,NA,No,NA,765.2,Wallet,51.01,3,5
2026-02-13,10:10:32,OLA586172,Success,Cust_3919,Bike,MG Road,Electronic City,4,45,NA,NA,No,NA,173.73,Cash,11.58,3,5
2026-01-15,06:29:09,OLA290283,Cancelled,Cust_2124,Auto,HSR Layout,Indiranagar,5,0,Customer,Changed mind,No,NA,0.0,Credit Card,0.0,0,0
2026-02-20,19:21:15,OLA977345,Success,Cust_517,Lux,Airport,Whitefield,6,24,NA,NA,No,NA,306.08,Cash,20.41,4,4
2026-01-14,23:18:45,OLA867267,Success,Cust_2095,Prime Play,HSR Layout,Airport,7,10,NA,NA,No,NA,329.32,Wallet,21.95,5,5
2026-02-26,17:58:36,OLA887645,Success,Cust_3520,Prime Play,MG Road,Electronic City,5,42,NA,NA,No,NA,949.93,UPI,63.33,5,5
2026-02-11,21:11:39,OLA235536,Cancelled,Cust_2009,Prime Play,Airport,MG Road,4,0,Customer,Driver refused,No,NA,0.0,Credit Card,0.0,0,0
2026-02-01,07:42:03,OLA510848,Success,Cust_4444,Mini,Whitefield,Indiranagar,10,27,NA,NA,No,NA,796.67,UPI,53.11,3,4
2026-02-02,04:17:06,OLA255723,Success,Cust_308,Prime Sedan,Airport,Whitefield,9,23,NA,NA,No,NA,1141.26,Credit Card,76.08,4,4
2026-02-21,07:25:31,OLA395043,Success,Cust_4812,Bike,Airport,Whitefield,11,6,NA,NA,No,NA,959.46,Wallet,63.96,4,4
2026-02-06,01:53:25,OLA306842,Success,Cust_2718,Prime Play,Koramangala,HSR Layout,8,42,NA,NA,No,NA,518.99,Wallet,34.6,3,4
2026-02-09,15:03:08,OLA433540,Cancelled,Cust_4717,Auto,Airport,Koramangala,1,0,Driver,Late arrival,No,NA,0.0,Wallet,0.0,0,0
2026-02-28,03:33:08,OLA135833,Success,Cust_3858,Lux,Whitefield,Electronic City,12,21,NA,NA,No,NA,782.69,Credit Card,52.18,5,4
2026-01-12,14:29:30,OLA391005,Cancelled,Cust_2983,Auto,HSR Layout,Electronic City,1,0,Driver,Late arrival,No,NA,0.0,Credit Card,0.0,0,0
2026-02-22,18:45:10,OLA840271,Incomplete,Cust_4074,Bike,MG Road,HSR Layout,8,5,NA,NA,Yes,Medical Emergency,52.19,Cash,3.48,0,0
2026-02-10,14:11:46,OLA850202,Cancelled,Cust_1607,Prime Play,Electronic City,Airport,5,0,Driver,Driver refused,No,NA,0.0,Credit Card,0.0,0,0
2026-02-10,21:32:49,OLA624856,Cancelled,Cust_4146,Lux,Whitefield,Indiranagar,5,0,Driver,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-01-30,22:29:20,OLA122505,Success,Cust_2996,Lux,MG Road,Whitefield,10,39,NA,NA,No,NA,471.93,Cash,31.46,3,4
2026-01-05,02:32:17,OLA306870,Success,Cust_1565,Mini,Indiranagar,HSR Layout,7,41,NA,NA,No,NA,120.72,UPI,8.05,5,5
2026-01-02,07:41:13,OLA671805,Success,Cust_982,Mini,MG Road,Airport,2,44,NA,NA,No,NA,293.2,UPI,19.55,3,5
2026-01-08,05:06:09,OLA754473,Success,Cust_2874,Prime Sedan,Electronic City,Indiranagar,10,10,NA,NA,No,NA,512.26,UPI,34.15,4,4
2026-01-06,23:09:59,OLA655330,Success,Cust_681,Lux,Koramangala,Whitefield,11,41,NA,NA,No,NA,313.15,Wallet,20.88,4,3
2026-02-02,17:29:25,OLA356185,Success,Cust_4245,Prime Sedan,Indiranagar,Airport,4,44,NA,NA,No,NA,756.43,Wallet,50.43,3,4
2026-01-06,17:19:35,OLA830869,Success,Cust_842,Lux,Indiranagar,Airport,3,40,NA,NA,No,NA,368.1,Wallet,24.54,4,3
2026-02-11,11:40:31,OLA546799,Success,Cust_2629,Prime Play,MG Road,Airport,3,21,NA,NA,No,NA,383.4,Cash,25.56,3,4
2026-01-10,18:13:30,OLA563585,Success,Cust_1092,Prime Play,Indiranagar,Whitefield,4,32,NA,NA,No,NA,920.72,Credit Card,61.38,4,5
2026-02-24,17:36:20,OLA508646,Success,Cust_3020,Prime Play,MG Road,Koramangala,3,7,NA,NA,No,NA,435.94,Wallet,29.06,4,4
2026-01-18,14:15:42,OLA971583,Success,Cust_2149,Prime Play,Indiranagar,Electronic City,5,9,NA,NA,No,NA,408.92,Cash,27.26,4,3
2026-02-26,17:45:33,OLA969985,Success,Cust_4267,Bike,Airport,HSR Layout,5,44,NA,NA,No,NA,921.75,Cash,61.45,3,5
2026-01-15,20:53:15,OLA191951,Success,Cust_1650,Lux,Whitefield,MG Road,4,39,NA,NA,No,NA,723.0,Cash,48.2,5,4
2026-01-18,23:44:20,OLA619713,Success,Cust_3411,Auto,MG Road,Koramangala,11,27,NA,NA,No,NA,1023.14,UPI,68.21,5,5
2026-03-01,09:45:49,OLA728003,Success,Cust_140,Lux,HSR Layout,Airport,2,10,NA,NA,No,NA,290.08,Credit Card,19.34,3,5
2026-01-27,08:41:04,OLA141308,Success,Cust_2190,Lux,Whitefield,Koramangala,2,7,NA,NA,No,NA,865.47,UPI,57.7,3,3
2026-01-30,14:49:57,OLA648784,Success,Cust_1034,Prime Sedan,Indiranagar,Koramangala,7,23,NA,NA,No,NA,715.91,Wallet,47.73,5,5
2026-01-11,10:55:00,OLA559524,Success,Cust_887,Lux,Airport,Electronic City,3,43,NA,NA,No,NA,1163.35,Cash,77.56,3,3
2026-02-01,23:41:20,OLA369097,Incomplete,Cust_891,Prime Play,Indiranagar,MG Road,3,9,NA,NA,Yes,Vehicle Breakdown,94.89,Wallet,6.33,0,0
2026-03-02,16:21:49,OLA204219,Success,Cust_1531,Prime Sedan,Whitefield,Indiranagar,5,39,NA,NA,No,NA,840.09,Wallet,56.01,4,5
2026-02-25,21:02:58,OLA682212,Cancelled,Cust_2329,Lux,HSR Layout,MG Road,5,0,Driver,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-02-17,02:15:51,OLA960644,Success,Cust_3536,Prime Sedan,Koramangala,MG Road,12,20,NA,NA,No,NA,391.22,Wallet,26.08,5,4
2026-01-25,20:47:28,OLA245340,Cancelled,Cust_4099,Mini,Koramangala,Airport,5,0,Driver,Driver refused,No,NA,0.0,Wallet,0.0,0,0
2026-02-08,03:00:59,OLA888700,Success,Cust_1583,Prime Sedan,Indiranagar,Electronic City,12,31,NA,NA,No,NA,761.15,UPI,50.74,4,4
2026-01-10,23:12:15,OLA880073,Success,Cust_2693,Auto,Koramangala,HSR Layout,7,16,NA,NA,No,NA,388.52,Wallet,25.9,5,5
2026-01-28,00:13:23,OLA772537,Incomplete,Cust_3925,Auto,Indiranagar,Electronic City,6,8,NA,NA,Yes,Vehicle Breakdown,174.63,UPI,11.64,0,0
2026-02-15,11:04:29,OLA234322,Success,Cust_4516,Auto,Indiranagar,Airport,4,18,NA,NA,No,NA,331.92,Credit Card,22.13,4,3
2026-01-27,09:32:50,OLA227995,Success,Cust_3261,Lux,HSR Layout,Whitefield,10,9,NA,NA,No,NA,278.43,Credit Card,18.56,4,3
2026-01-14,12:46:08,OLA362616,Success,Cust_1284,Mini,HSR Layout,MG Road,8,9,NA,NA,No,NA,208.02,Wallet,13.87,3,5
2026-01-28,16:59:40,OLA702976,Success,Cust_2434,Prime Sedan,MG Road,Electronic City,11,34,NA,NA,No,NA,943.0,Cash,62.87,3,4
2026-02-11,01:06:30,OLA987873,Success,Cust_2126,Prime Play,Koramangala,Airport,4,40,NA,NA,No,NA,1159.56,Cash,77.3,3,5
2026-01-25,10:02:47,OLA666616,Success,Cust_1075,Mini,Airport,Indiranagar,11,16,NA,NA,No,NA,119.15,Credit Card,7.94,3,4
2026-02-02,03:46:25,OLA514086,Success,Cust_1576,Prime Sedan,HSR Layout,MG Road,2,9,NA,NA,No,NA,1109.84,Credit Card,73.99,4,3
2026-01-24,08:06:02,OLA470825,Success,Cust_4171,Lux,Whitefield,MG Road,2,37,NA,NA,No,NA,131.43,Cash,8.76,4,5
2026-01-20,05:37:56,OLA968608,Success,Cust_2379,Prime Sedan,Indiranagar,HSR Layout,2,45,NA,NA,No,NA,249.74,Wallet,16.65,4,5
2026-02-04,17:31:53,OLA457166,Success,Cust_3748,Prime Play,Whitefield,Indiranagar,10,13,NA,NA,No,NA,347.57,Cash,23.17,5,5
2026-01-07,08:09:52,OLA513330,Success,Cust_1039,Prime Play,HSR Layout,Indiranagar,9,9,NA,NA,No,NA,1128.35,Wallet,75.22,3,5
